Table 1 rows=32 cols=6
  Row 1 : Информация о медицинской технике | Информация о медицинской технике | Информация о медицинской технике | Информация о медицинской технике | Информация о медицинской технике | Информация о медицинской технике
  Row 2 : №п/п | Критерии | Описание | Описание | Описание | Описание
  Row 3 : 1 | Наименование медицинской техники (в соответствии с государственным рее... | Установка рентгеновская маммографическая GIOTTO IMAGE 3DL Производител... | Установка рентгеновская маммографическая GIOTTO IMAGE 3DL Производител... | Установка рентгеновская маммографическая GIOTTO IMAGE 3DL Производител... | Установка рентгеновская маммографическая GIOTTO IMAGE 3DL Производител...
  Row 4 : 2 | Назначение (в соответствии с государственным реестром | Установка рентгенодиагностическая маммографическая GIOTTO IMAGE разраб... | Установка рентгенодиагностическая маммографическая GIOTTO IMAGE разраб... | Установка рентгенодиагностическая маммографическая GIOTTO IMAGE разраб... | Установка рентгенодиагностическая маммографическая GIOTTO IMAGE разраб...
  Row 5 :  |  |  |  |  | 
  Row 6 : 3 | Требования к комплектации | № п/п | Наименование комплектующего к медицинской технике                     ... | Модель и (или) марка, каталожный номер, краткая техническая характерис... | Требуемое количество (с указанием единицы измерения)
  Row 7 : Требуемое количество (с указанием единицы измерения) | Требуемое количество (с указанием единицы измерения) | Основные комплектующие: | Основные комплектующие: | Основные комплектующие: | Основные комплектующие:
  Row 8 : Основные комплектующие: | Основные комплектующие: |  | Штатив | Кольцевой О-образный штатив (гентри). Фокусное расстояние 650 мм. Верт... | 1 шт
  Row 9 : 1 шт | 1 шт |  | Высоковольтный генератор | Рабочая мощность 3,5 кВт. Диапазон изменения анодного напряжения 22 - ... | 1 шт
  Row 10 : 1 шт | 1 шт | 3 | Устройство компрессионное | Максимальное значение компрессии 200 Н (20 кг). Диапазон передвижения ... | 1 шт
  Row 11 : 1 шт | 1 шт | 4 | Рентгеновский излучатель с рентгеновской трубкой | Фокусы - 0,1 мм 27 мА / 0,3 мм 100 мА Мощность 2,5/9,6 кВт. Материал а... | 1 шт
  Row 12 : 1 шт | 1 шт | 5 | Плоскопанельный цифровой детектор размером 24х30 см. | Размер плоскопанельного  детектора 24х30 см. Аморфный кремниевый детек... | 1 шт
  Row 13 : 1 шт | 1 шт | 6 | Устройство Буки. | Устройство Буки работает как центральный элемент формирования изображе... | 1 шт.
  Row 14 : 1 шт. | 1 шт. | 7 | Электронный коллиматор | Электронный коллиматор - это узел рентгеновской системы, предназначенн... | 1 шт
  Row 15 : 1 шт | 1 шт | 8 | Устройство компрессионное. | Предназначена для сжатия (компрессии) молочной железы с целью повышени... | 1 шт
  Row 16 : 1 шт | 1 шт | 9 | Компрессионная пластина 24х30 см. | Компрессионная пластина размером 24×30 см - это сменный рентгенопрозра... | 1 шт
  Row 17 : 1 шт | 1 шт | 10 | Пульт управления. | Пульт управления обеспечивает оперативное управление позиционированием... | 1 шт
  Row 18 : 1 шт | 1 шт | 11 | Системный компьютерный блок, не более 2 шт | Предназначен для управления оборудованием, обработки изображений и инт... | 1 шт
  Row 19 : 1 шт | 1 шт | 12 | Монитор специальный маммографический, не более 4 шт. | ЖК медицинский монитор 20,1”, разрешение 1,9 Мп. Обработка изображения... | 1 шт
  Row 20 : 1 шт | 1 шт | 13 | Программное обеспечение | Программное обеспечение является ключевым компонентом маммографической... | 1 шт
  Row 21 : 1 шт | 1 шт | 14 | Блок питания. | Блок питания - это узел системы, предназначенный для преобразования и ... | 1 шт
  Row 22 : 1 шт | 1 шт | 15 | Стекло рентгенозащитное | Рентгенозащитное стекло - это специализированный прозрачный защитный м... | 1 шт
  Row 23 : 1 шт | 1 шт | 16 | Педаль, не более 2 шт. | Многофункциональная. Для управления режимами маммографа. Основные функ... | 1 шт
  Row 24 : 1 шт | 1 шт |  |  |  | 
  Row 25 :  |  |  |  |  | 
  Row 26 :  |  |  |  |  | 
  Row 27 : 4 | Требования условиям эксплуатации | Напряжение питания - 220 Вольт. Влажность: 30% - 75% без конденсата Те... | Напряжение питания - 220 Вольт. Влажность: 30% - 75% без конденсата Те... | Напряжение питания - 220 Вольт. Влажность: 30% - 75% без конденсата Те... | Напряжение питания - 220 Вольт. Влажность: 30% - 75% без конденсата Те...
  Row 28 : 5 | Условия осуществления поставки медицинской техники (в соответствии с И... | DDP согласно условиям договора | DDP согласно условиям договора | DDP согласно условиям договора | DDP согласно условиям договора
  Row 29 : 6 | Срок поставки медицинской техники и место дислокации | 120 календарных дней Адрес: г. Алматы, Наурызбайский район, мкр. Курам... | 120 календарных дней Адрес: г. Алматы, Наурызбайский район, мкр. Курам... | 120 календарных дней Адрес: г. Алматы, Наурызбайский район, мкр. Курам... | 120 календарных дней Адрес: г. Алматы, Наурызбайский район, мкр. Курам...
  Row 30 : 7 | Условия гарантийного сервисного обслуживания медицинской техники поста... | Гарантийное сервисное обслуживание медицинской техники не менее 37 мес... | Гарантийное сервисное обслуживание медицинской техники не менее 37 мес... | Гарантийное сервисное обслуживание медицинской техники не менее 37 мес... | Гарантийное сервисное обслуживание медицинской техники не менее 37 мес...
